question,answers,type,template_variant
"Who is the author of the book ""The Summer House: A Tradition of Leisure""?",Amy Willard Cross,book-author,author-of-book
"Who is the author of the book ""St. Peter's Fair""?",Ellis Peters,book-author,author-of-book
"Who wrote the book ""Wind Whispers, Shadow Shouts""?",Sharon Green,book-author,who-wrote-book
"Who is the author of the book ""Weekend Warriors""?",Fern Michaels,book-author,author-of-book
"Who is the author of the book ""La patología de la normalidad""?",Erich Fromm,book-author,author-of-book
"Who is the author of the book ""Grunt: The Curious Science of Humans at War""?",Mary Roach,book-author,author-of-book
"Who is the author of the book ""The Five Gifts: Discovering Hope, Healing and Strength When Disaster Strikes""?",Laurie Nadel,book-author,author-of-book
"Who wrote the book ""The Aftermath of War""?",Jean-Paul Sartre,book-author,who-wrote-book
"Who is the author of the book ""The Mystery in New York""?",Gertrude Chandler Warner,book-author,author-of-book
"Who is the author of the book ""Horoscopes for the Dead""?",Billy Collins,book-author,author-of-book
"Who is the author of the book ""Matters of the Heart""?",Danielle Steel,book-author,author-of-book
"Who wrote the book ""A Civil Contract""?",Georgette Heyer,book-author,who-wrote-book
"Who is the author of the book ""Slam""?",Nick Hornby,book-author,author-of-book
"Who is the author of the book ""Un señor muy viejo con unas alas enormes""?",Gabriel Garcí­a Márquez,book-author,author-of-book
"Who is the author of the book ""Keep It Pithy: Useful Observations in a Tough World""?",Bill O'Reilly,book-author,author-of-book
"Who is the author of the book ""One Day My Soul Just Opened Up""?",Iyanla Vanzant,book-author,author-of-book
"Who wrote the book ""Pulp""?",Charles Bukowski,book-author,who-wrote-book
"Who is the author of the book ""Upper Fourth at Malory Towers""?",Enid Blyton,book-author,author-of-book
"Who wrote the book ""The Hunt for Dark Infinity""?",James Dashner,book-author,who-wrote-book
"Who is the author of the book ""Preacher, Volume 9: Alamo""?",Garth Ennis,book-author,author-of-book
"Who is the author of the book ""The Bible Made Impossible: Why Biblicism is Not a Truly Evangelical Reading of Scripture""?",Christian Smith,book-author,author-of-book
"Who wrote the book ""Crash Landing!""?",Francine Pascal,book-author,who-wrote-book
"Who is the author of the book ""A Night Without Stars""?",Peter F. Hamilton,book-author,author-of-book
"Who wrote the book ""The Woman Who Wouldn't""?",Gene Wilder,book-author,who-wrote-book
"Who wrote the book ""Flight of Magpies""?",K.J. Charles,book-author,who-wrote-book
"Who is the author of the book ""The Complete Bakery Sisters Trilogy: An Anthology""?",Susan Mallery,book-author,author-of-book
"Who is the author of the book ""Преступление и наказание""?",Fyodor Dostoyevsky,book-author,author-of-book
"Who is the author of the book ""The ""Rebecca"" Notebook: And Other Memories""?",Daphne du Maurier,book-author,author-of-book
"Who wrote the book ""One Hundred Years of Solitude: Gabriel Garcí­a Márquez""?",Gabriel García Márquez,book-author,who-wrote-book
"Who is the author of the book ""Uglies: Shay's Story""?",Scott Westerfeld,book-author,author-of-book
"Who is the author of the book ""Die Upon a Kiss""?",Barbara Hambly,book-author,author-of-book
"Who wrote the book ""After the First Death""?",Lawrence Block,book-author,who-wrote-book
"Who is the author of the book ""Secrets and Shadows""?",Shannon Delany,book-author,author-of-book
"Who is the author of the book ""Shopgirl""?",Steve Martin,book-author,author-of-book
"Who wrote the book ""Beautiful Country Burn Again: Democracy, Rebellion, and Revolution""?",Ben Fountain,book-author,who-wrote-book
"Who wrote the book ""Runaway Vampire""?",Lynsay Sands,book-author,who-wrote-book
"Who is the author of the book ""Ensaio Sobre a Cegueira: A arquitetura de um romance""?",José Saramago,book-author,author-of-book
"Who is the author of the book ""The Psychology of Winning""?",Denis Waitley,book-author,author-of-book
"Who wrote the book ""Storm Prey""?",John Sandford,book-author,who-wrote-book
"Who wrote the book ""Cat People""?",Michael Korda,book-author,who-wrote-book
"Who wrote the book ""Darkside""?",Tom Stoppard,book-author,who-wrote-book
"Who wrote the book ""Christianity and Culture: The Idea of a Christian Society and Notes Towards the Definition of Culture""?",T.S. Eliot,book-author,who-wrote-book
"Who is the author of the book ""From Beyond""?",H.P. Lovecraft,book-author,author-of-book
"Who is the author of the book ""Love to the Uttermost""?",John Piper,book-author,author-of-book
"Who is the author of the book ""Mutineer's Moon""?",David Weber,book-author,author-of-book
"Who wrote the book ""Adjustment Day""?",Chuck Palahniuk,book-author,who-wrote-book
"Who wrote the book ""Something Fresh""?",P.G. Wodehouse,book-author,who-wrote-book
"Who wrote the book ""Nebula Awards Showcase 2008""?",Ben Bova,book-author,who-wrote-book
"Who wrote the book ""The Bourne Ultimatum""?",Robert Ludlum,book-author,who-wrote-book
"Who is the author of the book ""To End All Wars: A Story of Loyalty and Rebellion, 1914-1918""?",Adam Hochschild,book-author,author-of-book
"Who is the author of the book ""Banner of the Damned""?",Sherwood Smith,book-author,author-of-book
"Who is the author of the book ""Touch & Go""?",Lisa Gardner,book-author,author-of-book
"Who is the author of the book ""April Fool's Day""?",Bryce Courtenay,book-author,author-of-book
"Who is the author of the book ""Refuge Recovery: A Buddhist Path to Recovering from Addiction""?",Noah Levine,book-author,author-of-book
"Who wrote the book ""Edgar Allan Poe: The Fever Called Living""?",Paul Collins,book-author,who-wrote-book
"Who wrote the book ""Her Secret Fling""?",Sarah Mayberry,book-author,who-wrote-book
"Who wrote the book ""Angels Walking""?",Karen Kingsbury,book-author,who-wrote-book
"Who is the author of the book ""Sunset Limited""?",James Lee Burke,book-author,author-of-book
"Who wrote the book ""The War on Guns: Arming Yourself Against Gun Control Lies""?",John R. Lott Jr.,book-author,who-wrote-book
"Who wrote the book ""My One True Highlander""?",Suzanne Enoch,book-author,who-wrote-book
"Who wrote the book ""The Child of the Holy Grail""?",Rosalind Miles,book-author,who-wrote-book
"Who is the author of the book ""Self Leadership and the One Minute Manager""?",Kenneth H. Blanchard,book-author,author-of-book
"Who wrote the book ""Blue Dahlia""?",Nora Roberts,book-author,who-wrote-book
"Who is the author of the book ""Book of Haikus""?",Jack Kerouac,book-author,author-of-book
"Who is the author of the book ""Band of Misfits: Tales of the 2010 San Francisco Giants""?",andrew baggarly,book-author,author-of-book
"Who wrote the book ""Fulton Sheen's Wartime Prayer Book""?",Fulton J. Sheen,book-author,who-wrote-book
"Who wrote the book ""The Explorer""?",W. Somerset Maugham,book-author,who-wrote-book
"Who is the author of the book ""Family Wisdom from the Monk Who Sold His Ferrari""?",Robin S. Sharma,book-author,author-of-book
"Who wrote the book ""Martin Arrowsmith""?",Sinclair Lewis,book-author,who-wrote-book
"Who is the author of the book ""Spud""?",John van de Ruit,book-author,author-of-book
"Who is the author of the book ""La Douleur""?",Marguerite Duras,book-author,author-of-book
"Who is the author of the book ""Mary Queen of Scots""?",Antonia Fraser,book-author,author-of-book
"Who wrote the book ""La Dama Errante: Novela""?",Pío Baroja,book-author,who-wrote-book
"Who is the author of the book ""Bloodsucking Fiends""?",Christopher Moore,book-author,author-of-book
"Who is the author of the book ""La mezzanine""?",Nicholson Baker,book-author,author-of-book
"Who is the author of the book ""Magic Burns""?",Ilona Andrews,book-author,author-of-book
"Who wrote the book ""Never Mind""?",Edward St. Aubyn,book-author,who-wrote-book
"Who wrote the book ""At Your Beck & Call""?",Jane Harvey-Berrick,book-author,who-wrote-book
"Who wrote the book ""Past Perfect""?",Danielle Steel,book-author,who-wrote-book
"Who wrote the book ""Will You Still Love Me Tomorrow?""?",Claudia Carroll,book-author,who-wrote-book
"Who wrote the book ""I Heard You Paint Houses"", Updated Edition: Frank ""The Irishman"" Sheeran & Closing the Case on Jimmy Hoffa""?",Charles Brandt,book-author,who-wrote-book
"Who wrote the book ""Crimson Shore""?",Douglas Preston,book-author,who-wrote-book
"Who is the author of the book ""Dear Scott, Dearest Zelda: The Love Letters of F. Scott and Zelda Fitzgerald""?",F. Scott Fitzgerald,book-author,author-of-book
"Who wrote the book ""Susan Wiggs Lakeshore Chronicles Series Books 4-6: Snowfall at Willow Lake\Fireside\Lakeshore Christmas""?",Susan Wiggs,book-author,who-wrote-book
"Who wrote the book ""Zero Waste Home: The Ultimate Guide to Simplifying Your Life by Reducing Your Waste""?",Bea Johnson,book-author,who-wrote-book
"Who wrote the book ""Flirty Thirty""?",Cassie Mae,book-author,who-wrote-book
"Who wrote the book ""Fat Pig""?",Neil LaBute,book-author,who-wrote-book
"Who wrote the book ""The New New Rules: A Funny Look At How Everybody But Me Has Their Head Up Their Ass""?",Bill Maher,book-author,who-wrote-book
"Who is the author of the book ""Michael W. Smith - This Is Your Time""?",Michael W. Smith,book-author,author-of-book
"Who is the author of the book ""Doce mujeres extraordinarias: Cómo Dios formó a las mujeres de la Biblia y lo qué Él quiere hacer con usted""?",John F. MacArthur Jr.,book-author,author-of-book
"Who is the author of the book ""Ashenden, or The British Agent""?",W. Somerset Maugham,book-author,author-of-book
"Who is the author of the book ""The Soul of the Marionette: A Short Inquiry into Human Freedom""?",John Nicholas Gray,book-author,author-of-book
"Who is the author of the book ""Going Native""?",Stephen Wright,book-author,author-of-book
"Who is the author of the book ""An Enchanted Season""?",Erin McCarthy,book-author,author-of-book
"Who is the author of the book ""My Life as a Doormat""?",Rene Gutteridge,book-author,author-of-book
"Who wrote the book ""Fade to Black""?",Leslie A. Kelly,book-author,who-wrote-book
"Who is the author of the book ""Vaporwave Sixtyten""?",Rebecca McNutt,book-author,author-of-book
"Who is the author of the book ""The Boy in the Striped Pyjamas""?",John Boyne,book-author,author-of-book
"Who is the author of the book ""Love's Sacred Song""?",Mesu Andrews,book-author,author-of-book
"Who is the author of the book ""Crocodile on the Sandbank""?",Elizabeth Peters,book-author,author-of-book
"Who is the author of the book ""The Second Life of Nick Mason""?",Steve Hamilton,book-author,author-of-book
"Who is the author of the book ""The Next Person You Meet in Heaven""?",Mitch Albom,book-author,author-of-book
"Who is the author of the book ""The Last Hero""?",Terry Pratchett,book-author,author-of-book
"Who is the author of the book ""Lucy & Desi: The Legendary Love Story of Television's Most Famous Couple""?",Warren G. Harris,book-author,author-of-book
"Who wrote the book ""Grace Notes: Daily Readings with Philip Yancey""?",Philip Yancey,book-author,who-wrote-book
"Who is the author of the book ""Purple Cane Road""?",James Lee Burke,book-author,author-of-book
"Who wrote the book ""Reason in a Dark Time: Why the Struggle Against Climate Change Failed -- and What It Means for Our Future""?",Dale Jamieson,book-author,who-wrote-book
"Who wrote the book ""RatBurger""?",David Walliams,book-author,who-wrote-book
"Who is the author of the book ""In the Morning I'll be Gone""?",Adrian McKinty,book-author,author-of-book
"Who is the author of the book ""The Complete Illustrated Novels of Sherlock Holmes: A Study in Scarlet, The Sign of the Four, The Hound of the Baskervilles & The Valley of Fear""?",Sir Arthur Conan Doyle,book-author,author-of-book
"Who is the author of the book ""School of the Spirit: Developing the Human Spirit""?",Roberts Liardon,book-author,author-of-book
"Who is the author of the book ""Star Wars: Scoundrels""?",Timothy Zahn,book-author,author-of-book
"Who is the author of the book ""The Changeling: 3""?",Jerry B. Jenkins,book-author,author-of-book
"Who wrote the book ""Thus Spoke Zarathustra: Color Illustrated, Formatted for E-Readers""?",Friedrich Wilhelm Nietzsche,book-author,who-wrote-book
"Who wrote the book ""Stilwell and the American Experience in China, 1911-45""?",Barbara W. Tuchman,book-author,who-wrote-book
"Who is the author of the book ""La ciudad ausente""?",Ricardo Piglia,book-author,author-of-book
"Who wrote the book ""The Book Charmer""?",Karen Hawkins,book-author,who-wrote-book
"Who is the author of the book ""Monsignor Quixote""?",Graham Greene,book-author,author-of-book
"Who is the author of the book ""100 People Who Are Screwing Up America:""?",Bernard Goldberg,book-author,author-of-book
"Who is the author of the book ""Chain Letter""?",Christopher Pike,book-author,author-of-book
"Who is the author of the book ""Insatiable, Book Two""?",J.D. Hawkins,book-author,author-of-book
"Who is the author of the book ""Northern Lights""?",Nora Roberts,book-author,author-of-book
"Who wrote the book ""A Tale for the Time Being""?",Ruth Ozeki,book-author,who-wrote-book
"Who is the author of the book ""Envy the Night""?",Michael Koryta,book-author,author-of-book
"Who is the author of the book ""What Do You Care What Other People Think?: Further Adventures of a Curious Character""?",Richard P. Feynman,book-author,author-of-book
"Who is the author of the book ""Retrato en sepia""?",Isabel Allende,book-author,author-of-book
"Who is the author of the book ""Brooklyn""?",Colm Tóibín,book-author,author-of-book
"Who is the author of the book ""Winter Moon""?",C.E. Murphy,book-author,author-of-book
"Who wrote the book ""Within a Budding Grove, Part 2""?",Marcel Proust,book-author,who-wrote-book
"Who wrote the book ""Splinter of the Mind's Eye""?",Alan Dean Foster,book-author,who-wrote-book
"Who is the author of the book ""How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness, Dying, Addiction, Depression, and Transcendence""?",Michael Pollan,book-author,author-of-book
"Who wrote the book ""Phantastische Nacht Und 5 Andere Erz�hlungen""?",Stefan Zweig,book-author,who-wrote-book
"Who is the author of the book ""Living by Fiction""?",Annie Dillard,book-author,author-of-book
"Who wrote the book ""Isaac's Universe Volume One: The Diplomacy Guild""?",David Brin,book-author,who-wrote-book
"Who wrote the book ""Guns, Germs And Steel""?",Jared Diamond,book-author,who-wrote-book
"Who is the author of the book ""Fixing My Eyes on Jesus: Daily Moments in His Word""?",Anne Graham Lotz,book-author,author-of-book
"Who is the author of the book ""Lost Children Archive""?",Valeria Luiselli,book-author,author-of-book
"Who wrote the book ""Half Asleep in Frog Pajamas""?",Tom Robbins,book-author,who-wrote-book
"Who wrote the book ""Hobby""?",Jane Yolen,book-author,who-wrote-book
"Who is the author of the book ""The Unpunished Vice: A Life of Reading""?",Edmund White,book-author,author-of-book
"Who is the author of the book ""Let Nobody Turn Us Around: Voices on Resistance, Reform, and Renewal an African American Anthology""?",Martin Luther King Jr.,book-author,author-of-book
"Who wrote the book ""Everyday Blessings: 365 Days of Inspirational Thoughts""?",Max Lucado,book-author,who-wrote-book
"Who wrote the book ""Real Dissent: A Libertarian Sets Fire to the Index Card of Allowable Opinion""?",Thomas E. Woods Jr.,book-author,who-wrote-book
"Who wrote the book ""The Birth of Plenty: How the Prosperity of the Modern World was Created""?",William J. Bernstein,book-author,who-wrote-book
"Who is the author of the book ""La disparition/ Les revenentes et autres lipogrammes""?",Georges Perec,book-author,author-of-book
"Who wrote the book ""Stars of Fortune""?",Nora Roberts,book-author,who-wrote-book
"Who is the author of the book ""The Final Solution: A Story of Detection""?",Michael Chabon,book-author,author-of-book
"Who wrote the book ""Stigma: Notes on the Management of Spoiled Identity""?",Erving Goffman,book-author,who-wrote-book
"Who wrote the book ""The Ultimate Guide to Dorothy Dunnett's The Game of Kings""?",Laura Caine Ramsey,book-author,who-wrote-book
"Who is the author of the book ""The Little Book of Stupidity: How We Lie to Ourselves and Don't Believe Others""?",Sia Mohajer,book-author,author-of-book
"Who is the author of the book ""The Angels' Share""?",J.R. Ward,book-author,author-of-book
"Who is the author of the book ""Naming the Bones""?",Louise Welsh,book-author,author-of-book
"Who is the author of the book ""A Place for Weakness: Preparing Yourself for Suffering""?",Michael S. Horton,book-author,author-of-book
"Who is the author of the book ""My Several Worlds""?",Pearl S. Buck,book-author,author-of-book
"Who wrote the book ""The Winds of Marble Arch and Other Stories""?",Connie Willis,book-author,who-wrote-book
"Who is the author of the book ""Rules for Reasoning""?",Richard E. Nisbett,book-author,author-of-book
"Who wrote the book ""Faded Steel Heat""?",Glen Cook,book-author,who-wrote-book
"Who wrote the book ""Speedboat""?",Renata Adler,book-author,who-wrote-book
"Who wrote the book ""Brief einer Unbekannten""?",Stefan Zweig,book-author,who-wrote-book
"Who is the author of the book ""Lost Island""?",Barbara Newhall Follett,book-author,author-of-book
"Who wrote the book ""Atlantis Found""?",Clive Cussler,book-author,who-wrote-book
"Who wrote the book ""Behind the Scenes at the Museum""?",Kate Atkinson,book-author,who-wrote-book
"Who wrote the book ""Complete Tales and Poems""?",Edgar Allan Poe,book-author,who-wrote-book
"Who is the author of the book ""Dead Toad Scrolls""?",Kilroy J. Oldster,book-author,author-of-book
"Who wrote the book ""The Kingdom of God Is Within You: Revised Edition of Original Version""?",Leo Tolstoy,book-author,who-wrote-book
"Who wrote the book ""Fantasy in Death""?",J.D. Robb,book-author,who-wrote-book
"Who wrote the book ""The Cure at Troy: A Version of Sophocles' Philoctetes""?",Seamus Heaney,book-author,who-wrote-book
"Who wrote the book ""The Best of Wodehouse: An Anthology""?",P.G. Wodehouse,book-author,who-wrote-book
"Who is the author of the book ""Bilinmeyen Bir Kadının Mektubu - Olağanüstü Bir Gece""?",Stefan Zweig,book-author,author-of-book
"Who is the author of the book ""The Silver Age of Russian Culture: An Anthology""?",Boris Sadovskoy,book-author,author-of-book
"Who wrote the book ""In a Fertile Desert: Modern Writing from the United Arab Emirates""?",Denys Johnson-Davies,book-author,who-wrote-book
"Who is the author of the book ""The Smoke Thief""?",Shana Abe,book-author,author-of-book
"Who wrote the book ""Hag-Seed: The Tempest Retold""?",Margaret Atwood,book-author,who-wrote-book
"Who is the author of the book ""Paper Rose""?",Diana Palmer,book-author,author-of-book
"Who is the author of the book ""Rebel Rising""?",Beth Revis,book-author,author-of-book
"Who is the author of the book ""Chasing Brooklyn""?",Lisa Schroeder,book-author,author-of-book
"Who is the author of the book ""The Green Mile""?",Stephen King,book-author,author-of-book
"Who wrote the book ""A Far Cry from Kensington""?",Muriel Spark,book-author,who-wrote-book
"Who is the author of the book ""Word of Honor""?",Nelson DeMille,book-author,author-of-book
"Who wrote the book ""PRIMAL Origin""?",Jack Silkstone,book-author,who-wrote-book
"Who wrote the book ""Press Start to Play""?",Ernest Cline,book-author,who-wrote-book
"Who is the author of the book ""An American Family: The Baby with the Curious Markings""?",Harry Crews,book-author,author-of-book
"Who wrote the book ""72 Hour Hold""?",Bebe Moore Campbell,book-author,who-wrote-book
"Who wrote the book ""Caught""?",Harlan Coben,book-author,who-wrote-book
"Who is the author of the book ""Dreaming Spies""?",Laurie R. King,book-author,author-of-book
"Who wrote the book ""Covert Game""?",Christine Feehan,book-author,who-wrote-book
"Who is the author of the book ""Be Still and Know that You are NOT God: God is not ""in"" everyone and everything""?",Warren B. Smith,book-author,author-of-book
"Who is the author of the book ""Shamanic Astrology Handbook""?",Daniel Giamario,book-author,author-of-book
"Who wrote the book ""Naughty Neighbor""?",Janet Evanovich,book-author,who-wrote-book
"Who is the author of the book ""On Rue Tatin: Living and Cooking in a French Town""?",Susan Herrmann Loomis,book-author,author-of-book
"Who wrote the book ""Y: The Last Man - The Deluxe Edition Book Five""?",Brian K. Vaughan,book-author,who-wrote-book
"Who wrote the book ""The Serpentwar Saga: The Complete 4-Book Collection""?",Raymond E. Feist,book-author,who-wrote-book
"Who wrote the book ""Halo: Mortal Dictata""?",Karen Traviss,book-author,who-wrote-book
"Who wrote the book ""Brain Power: Improve Your Mind as You Age""?",Michael J. Gelb,book-author,who-wrote-book
"Who wrote the book ""House of Cards: The True Story of How a 26-Year-Old Fundamentalist Virgin Learned about Life, Love, and Sex by Writing Greeting Cards""?",David Ellis Dickerson,book-author,who-wrote-book
"Who is the author of the book ""My Last JDate""?",Esther Schor,book-author,author-of-book
"Who is the author of the book ""The Elements of Typographic Style""?",Robert Bringhurst,book-author,author-of-book
"Who wrote the book ""Черный лебедь""?",Nassim Nicholas Taleb,book-author,who-wrote-book
"Who is the author of the book ""Kafka Americana: Fiction""?",Jonathan Lethem,book-author,author-of-book
"Who wrote the book ""A Room of One's Own and Three Guineas""?",Virginia Woolf,book-author,who-wrote-book
"Who wrote the book ""Prometheus Rising""?",Robert Anton Wilson,book-author,who-wrote-book
"Who is the author of the book ""The Diary of Anais Nin Volume 1 1931-1934""?",Anaïs Nin,book-author,author-of-book
"Who wrote the book ""Mean Street""?",D.K. Herman,book-author,who-wrote-book
"Who wrote the book ""The Washington Connection & Third World Fascism""?",Noam Chomsky,book-author,who-wrote-book
"Who is the author of the book ""Alone in the Kitchen with an Eggplant : Confessions of Cooking for One and Dining Alone""?",Ann Patchett,book-author,author-of-book
"Who is the author of the book ""Bella Mafia""?",Lynda La Plante,book-author,author-of-book
"Who wrote the book ""Run with the Horses: The Quest for Life at Its Best""?",Eugene H. Peterson,book-author,who-wrote-book
"Who is the author of the book ""Set This House On Fire""?",William Styron,book-author,author-of-book
"Who is the author of the book ""In This House of Brede""?",Rumer Godden,book-author,author-of-book
"Who wrote the book ""Gathering Blue (The Giver Quartet)""?",Lois Lowry,book-author,who-wrote-book
"Who is the author of the book ""Theories of Relativity""?",Barbara Haworth-Attard,book-author,author-of-book
"Who wrote the book ""The Ladies' Room""?",Carolyn Brown,book-author,who-wrote-book
"Who wrote the book ""Egyedül""?",Laura Leiner,book-author,who-wrote-book
"Who is the author of the book ""A Creed In Stone Creek""?",Linda Lael Miller,book-author,author-of-book
"Who wrote the book ""No Free Left""?",Vijay Prashad,book-author,who-wrote-book
"Who wrote the book ""Dare To Be Creative!: A Lecture Presented At The Library Of Congress, November 16, 1983""?",Madeleine L'Engle,book-author,who-wrote-book
"Who wrote the book ""Getting Real""?",Jason Fried,book-author,who-wrote-book
"Who wrote the book ""Fire In You""?",Jennifer L. Armentrout,book-author,who-wrote-book
"Who wrote the book ""Ahab's Wife, or The Star-Gazer""?",Sena Jeter Naslund,book-author,who-wrote-book
"Who wrote the book ""The Christmas Shoes""?",Donna VanLiere,book-author,who-wrote-book
"Who is the author of the book ""I Ching Wisdom: More Guidance from the Book of Answers""?",Wu Wei,book-author,author-of-book
"Who is the author of the book ""Conspiracy Game""?",Christine Feehan,book-author,author-of-book
"Who wrote the book ""Hannah and Her Sisters""?",Woody Allen,book-author,who-wrote-book
"Who wrote the book ""Live To Tell""?",Lisa Gardner,book-author,who-wrote-book
"Who wrote the book ""Preacher's Fortune""?",William W. Johnstone,book-author,who-wrote-book
"Who wrote the book ""The Second Chair""?",John Lescroart,book-author,who-wrote-book
"Who is the author of the book ""The Word for World is Forest""?",Ursula K. Le Guin,book-author,author-of-book
"Who wrote the book ""The Prince and Betty""?",P.G. Wodehouse,book-author,who-wrote-book
"Who is the author of the book ""Mr. X""?",Peter Straub,book-author,author-of-book
"Who is the author of the book ""Mitch and Amy""?",Beverly Cleary,book-author,author-of-book
"Who is the author of the book ""Let the Great World Spin""?",Colum McCann,book-author,author-of-book
"Who wrote the book ""The Rise: Creativity, the Gift of Failure, and the Search for Mastery""?",Sarah Lewis,book-author,who-wrote-book
"Who wrote the book ""On the Move: A Life""?",Oliver Sacks,book-author,who-wrote-book
"Who wrote the book ""Perdido Street Station""?",China Miéville,book-author,who-wrote-book
"Who wrote the book ""God's Battalions: The Case for the Crusades""?",Rodney Stark,book-author,who-wrote-book
"Who is the author of the book ""Feathers from My Nest""?",Beth Moore,book-author,author-of-book
"Who is the author of the book ""In the Midst of Winter""?",Isabel Allende,book-author,author-of-book
"Who wrote the book ""Digital Fortress""?",Dan Brown,book-author,who-wrote-book
"Who is the author of the book ""1636: The Ottoman Onslaught""?",Eric Flint,book-author,author-of-book
"Who is the author of the book ""New Revelations:  A Conversation With God""?",Neale Donald Walsch,book-author,author-of-book
"Who is the author of the book ""Journey of Faith""?",Kristiana Gregory,book-author,author-of-book
"Who wrote the book ""The Story of Sir Launcelot and His Companions""?",Howard Pyle,book-author,who-wrote-book
"Who is the author of the book ""The Lazarus Effect: Pandora Sequence Book 3""?",Frank Herbert,book-author,author-of-book
"Who is the author of the book ""Project Princess""?",Meg Cabot,book-author,author-of-book
"Who is the author of the book ""Quantum Lens""?",Douglas E. Richards,book-author,author-of-book
"Who is the author of the book ""A Purple Place for Dying: A Travis McGee Novel""?",John D. MacDonald,book-author,author-of-book
"Who wrote the book ""Sunder""?",Tara Brown,book-author,who-wrote-book
"Who is the author of the book ""The History of Mr. Polly""?",H.G. Wells,book-author,author-of-book
"Who is the author of the book ""The Castle""?",Franz Kafka,book-author,author-of-book
"Who is the author of the book ""The Wounded Land""?",Stephen R. Donaldson,book-author,author-of-book
"Who is the author of the book ""Approaching Ali: A Reclamation in Three Acts""?",Davis Miller,book-author,author-of-book
"Who wrote the book ""Queer""?",William S. Burroughs,book-author,who-wrote-book
"Who wrote the book ""You Can Begin Again: No Matter What, It's Never Too Late""?",Joyce Meyer,book-author,who-wrote-book
"Who is the author of the book ""La dieta interior""?",Alexandre Havard,book-author,author-of-book
"Who is the author of the book ""Thunder in the Morning Calm""?",Don Brown,book-author,author-of-book
"Who wrote the book ""The Witch's Head""?",H. Rider Haggard,book-author,who-wrote-book
"Who is the author of the book ""Ultimate Magic""?",T.A. Barron,book-author,author-of-book
"Who is the author of the book ""A Touch of Minx""?",Suzanne Enoch,book-author,author-of-book
"Who wrote the book ""The Inconvenient Indian: A Curious Account of Native People in North America""?",Thomas King,book-author,who-wrote-book
"Who is the author of the book ""Palm Sunday: An Autobiographical Collage""?",Kurt Vonnegut,book-author,author-of-book
"Who wrote the book ""A Girl Named Zippy: Growing Up Small in Mooreland Indiana""?",Haven Kimmel,book-author,who-wrote-book
"Who wrote the book ""The Shape of a Pocket""?",John Berger,book-author,who-wrote-book
"Who is the author of the book ""Cleaving: A Story of Marriage, Meat, and Obsession""?",Julie Powell,book-author,author-of-book
"Who wrote the book ""The Second Sex""?",Simone de Beauvoir,book-author,who-wrote-book
"Who wrote the book ""The Girl Most Likely To...""?",Susan Donovan,book-author,who-wrote-book
"Who wrote the book ""The Death of Ivan Ilych""?",Leo Tolstoy,book-author,who-wrote-book
"Who wrote the book ""The Other Side""?",J.D. Robb,book-author,who-wrote-book
"Who is the author of the book ""Linchpin: Are You Indispensable?""?",Seth Godin,book-author,author-of-book
"Who wrote the book ""Gyn/Ecology: The Metaethics of Radical Feminism""?",Mary Daly,book-author,who-wrote-book
"Who is the author of the book ""The Jesus Incident""?",Frank Herbert,book-author,author-of-book
"Who wrote the book ""The Fellowship of the Ring""?",J. R. R. Tolkien,book-author,who-wrote-book
"Who is the author of the book ""A Coffin for Dimitrios""?",Eric Ambler,book-author,author-of-book
"Who wrote the book ""Letters Home""?",Sylvia Plath,book-author,who-wrote-book
"Who is the author of the book ""The Queen's Mistake""?",Diane Haeger,book-author,author-of-book
"Who is the author of the book ""Rule 34""?",Charles Stross,book-author,author-of-book
"Who wrote the book ""Shattered Rainbows""?",Mary Jo Putney,book-author,who-wrote-book
"Who is the author of the book ""A Dialogue""?",James Baldwin,book-author,author-of-book
"Who is the author of the book ""The Unicorn""?",Iris Murdoch,book-author,author-of-book
"Who wrote the book ""The Boy Next Door""?",Meg Cabot,book-author,who-wrote-book
"Who wrote the book ""Further Still: A Collection of Poetry and Vignettes""?",Beth Moore,book-author,who-wrote-book
"Who wrote the book ""Beauty Queens""?",Libba Bray,book-author,who-wrote-book
"Who is the author of the book ""Of Love and Other Demons""?",Gabriel García Márquez,book-author,author-of-book
"Who wrote the book ""Bryant & May and the Memory of Blood""?",Christopher Fowler,book-author,who-wrote-book
"Who wrote the book ""Darkly Dreaming Dexter""?",Jeff Lindsay,book-author,who-wrote-book
"Who is the author of the book ""The Modern Mind: An Intellectual History of the 20th Century""?",Peter Watson,book-author,author-of-book
"Who wrote the book ""The Toilers of the Sea""?",Victor Hugo,book-author,who-wrote-book
"Who wrote the book ""The Visitation""?",Frank E. Peretti,book-author,who-wrote-book
"Who wrote the book ""Tim Gunn's Fashion Bible: The Fascinating History of Everything in Your Closet""?",Tim Gunn,book-author,who-wrote-book
"Who wrote the book ""I Heart You, You Haunt Me""?",Lisa Schroeder,book-author,who-wrote-book
"Who wrote the book ""Sideswipe: A Hoke Moseley Novel""?",Charles Willeford,book-author,who-wrote-book
"Who wrote the book ""Religion for Atheists: A Non-Believer's Guide to the Uses of Religion""?",Alain de Botton,book-author,who-wrote-book
"Who is the author of the book ""Portuguese Irregular Verbs""?",Alexander McCall Smith,book-author,author-of-book
"Who wrote the book ""Wood Nymph Seeks Centaur: A Mythological Dating Guide""?",Francesca Lia Block,book-author,who-wrote-book
"Who is the author of the book ""La luz que no puedes ver""?",Anthony Doerr,book-author,author-of-book
