question,answers
"Who is the author of the book ""Devices And Desires""?",P.D. James
"Who is the author of the book ""Rick Steves Barcelona""?",Rick Steves
"Who is the author of the book ""Second Form at Malory Towers (Malory Towers""?",Enid Blyton
"Who is the author of the book ""The Names of Jesus""?",Warren W. Wiersbe
"Who is the author of the book ""The Last Don""?",Mario Puzo
"Who is the author of the book ""A Bride of the Plains""?",Emmuska Orczy
"Who is the author of the book ""Stilwell and the American Experience in China: 1911-1945""?",Barbara W. Tuchman
"Who is the author of the book ""Better Than Perfect""?",Melissa Kantor
"Who is the author of the book ""The Burglar Who Liked to Quote Kipling""?",Lawrence Block
"Who is the author of the book ""The Scandal of Father Brown""?",G.K. Chesterton
"Who is the author of the book ""xxxHolic, Vol. 1""?",Clamp
"Who is the author of the book ""We Are Still Married: Stories & Letters""?",Garrison Keillor
"Who is the author of the book ""Falling Like Snowflakes""?",Denise Hunter
"Who is the author of the book ""Storm Glass""?",Maria V. Snyder
"Who is the author of the book ""Sweet Peril""?",Wendy Higgins
"Who is the author of the book ""Perfume""?",Patrick Süskind
"Who is the author of the book ""The Integration of the Personality""?",C.G. Jung
"Who is the author of the book ""Bink & Gollie""?",Kate DiCamillo
"Who is the author of the book ""Owls and Other Fantasies: Poems and Essays""?",Mary Oliver
"Who is the author of the book ""The Brontës: A Life in Letters""?",Juliet Barker
"Who is the author of the book ""El precio de la desigualdad. El 1 % de población tiene lo que el 99 % necesita""?",Joseph E. Stiglitz
"Who is the author of the book ""Almost""?",Anne Eliot
"Who is the author of the book ""Killing Rommel""?",Steven Pressfield
"Who is the author of the book ""Amerigo: A Comedy of Errors in History""?",Stefan Zweig
"Who is the author of the book ""The Baby-Sitters Club #8: Boy-Crazy Stacey""?",Ann M. Martin
"Who is the author of the book ""Secret Seven: Secret Seven Collection 2 - books 4-6""?",Enid Blyton
"Who is the author of the book ""Pardonable Lies""?",Jacqueline Winspear
"Who is the author of the book ""The Misanthrope""?",Molière
"Who is the author of the book ""Never Fall Down""?",Patricia McCormick
"Who is the author of the book ""The 12 Week Year: Get More Done in 12 Weeks than Others Do in 12 Months""?",Brian P. Moran
"Who is the author of the book ""The Children's Crusade""?",Ann Packer
"Who is the author of the book ""The Silver Chair""?",C.S. Lewis
"Who is the author of the book ""Belief or Nonbelief?""?",Umberto Eco
"Who is the author of the book ""On Writing: A Memoir of the Craft""?",Stephen King
"Who is the author of the book ""Weird Things Customers Say in Bookshops""?",Jen Campbell
"Who is the author of the book ""A Darkness Strange and Lovely""?",Susan Dennard
"Who is the author of the book ""Black Sun: Depression and Melancholia""?",Julia Kristeva
"Who is the author of the book ""The Reluctant Vampire""?",Lynsay Sands
"Who is the author of the book ""Rise of the Isle of the Lost""?",Melissa de la Cruz
"Who is the author of the book ""The Collected Poems of Rudyard Kipling""?",Rudyard Kipling
"Who is the author of the book ""Lothaire""?",Kresley Cole
"Who is the author of the book ""Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century""?",Napoleon Hill
"Who is the author of the book ""Devil's Game""?",Joanna Wylde
"Who is the author of the book ""The Third Deadly Sin""?",Lawrence Sanders
"Who is the author of the book ""A Passionate Apprentice: The Early Journals, 1897-1909""?",Virginia Woolf
"Who is the author of the book ""Daily Reflections: A Book of Reflections by A.A. Members for A.A. Members""?",Alcoholics Anonymous
"Who is the author of the book ""Side Jobs: Stories from the Dresden Files""?",Jim Butcher
"Who is the author of the book ""Be Free (Galatians): Exchange Legalism for True Spirituality""?",Warren W. Wiersbe
"Who is the author of the book ""Of Marriageable Age""?",Sharon Maas
"Who is the author of the book ""A Worthy Pursuit""?",Karen Witemeyer
"Who is the author of the book ""The Crystal Cave""?",Mary Stewart
"Who is the author of the book ""What Janie Saw""?",Caroline B. Cooney
"Who is the author of the book ""Warrior Goddess Training: Become the Woman You Are Meant to Be""?",HeatherAsh Amara
"Who is the author of the book ""Against Our Better Judgment: The hidden history of how the U.S. was used to create Israel""?",Alison Weir
"Who is the author of the book ""God's Wisdom for a Woman's Life: Timeless Principles for Your Every Need""?",Elizabeth George
"Who is the author of the book ""Sing Down the Moon""?",Scott O'Dell
"Who is the author of the book ""Smart College Career Moves: What You Can Do Now to Make Yourself More Marketable Later""?",Michael J. Russ
"Who is the author of the book ""How to Turn Down a Billion Dollars: The Snapchat Story""?",Billy Gallagher
"Who is the author of the book ""Swim Back to Me""?",Ann Packer
"Who is the author of the book ""Free Air""?",Sinclair Lewis
"Who is the author of the book ""Why Zebras Don't Get Ulcers: The Acclaimed Guide to Stress, Stress-Related Diseases, and Coping""?",Robert M. Sapolsky
"Who is the author of the book ""The Cat Who Wasn't There""?",Lilian Jackson Braun
"Who is the author of the book ""Fruits Basket, Vol. 6""?",Natsuki Takaya
"Who is the author of the book ""The Hooker and the Hermit""?",Penny Reid
"Who is the author of the book ""The Bronze Bow""?",Elizabeth George Speare
"Who is the author of the book ""The Consolations of Philosophy / Status Anxiety""?",Alain de Botton
"Who is the author of the book ""The Perils of Morning Coffee""?",Alexander McCall Smith
"Who is the author of the book ""Living Beyond Your Feelings: Controlling Emotions So They Don't Control You""?",Joyce Meyer
"Who is the author of the book ""For One More Day""?",Mitch Albom
"Who is the author of the book ""Travel Team""?",Mike Lupica
"Who is the author of the book ""Autobiography of a Fat Bride: True Tales of a Pretend Adulthood""?",Laurie Notaro
"Who is the author of the book ""Boom!""?",Mark Haddon
"Who is the author of the book ""Love Bites""?",Lynsay Sands
"Who is the author of the book ""H.G. Wells Reader: A Complete Anthology from Science Fiction to Social Satire""?",H. G. Wells
"Who is the author of the book ""Full Black""?",Brad Thor
"Who is the author of the book ""Science and Psychic Phenomena: The Fall of the House of Skeptics""?",Christopher David Carter
"Who is the author of the book ""Undaunted""?",Diana Palmer
"Who is the author of the book ""The Art of Woo: Using Strategic Persuasion to Sell Your Ideas""?",G.Richard Shell
"Who is the author of the book ""I Heard That Song Before""?",Mary Higgins Clark
"Who is the author of the book ""Blood Feud""?",Alyxandra Harvey
"Who is the author of the book ""Scattered Shadows: A Memoir of Blindness and Vision""?",John Howard Griffin
"Who is the author of the book ""Murder Is Easy""?",Agatha Christie
"Who is the author of the book ""Where There's Smoke""?",Jodi Picoult
"Who is the author of the book ""Warcraft: Durotan""?",Christie Golden
"Who is the author of the book ""The Runaway""?",Martina Cole
"Who is the author of the book ""Normal People""?",Sally Rooney
"Who is the author of the book ""Homilies on the First Epistle of John""?",Augustine of Hippo
"Who is the author of the book ""Summer Moonshine""?",P.G. Wodehouse
"Who is the author of the book ""Lethal""?",Sandra Brown
"Who is the author of the book ""Sentimental Education Vol 1""?",Gustave Flaubert
"Who is the author of the book ""Nauti and Wild""?",Lora Leigh
"Who is the author of the book ""The Gospel According to Job""?",Mike Mason
"Who is the author of the book ""Stolen Kisses""?",Suzanne Enoch
"Who is the author of the book ""The Complete Idiot's Guide to Beekeeping""?",H.G. Bissinger
"Who is the author of the book ""Complete Works of Johannes Vermeer""?",Johannes Vermeer
"Who is the author of the book ""Night Fall""?",Nelson DeMille
"Who is the author of the book ""Airel: The Awakening""?",Aaron Patterson
"Who is the author of the book ""The Two Gentlemen of Verona""?",William Shakespeare
"Who is the author of the book ""Star Island""?",Carl Hiaasen
"Who is the author of the book ""سخط""?",Philip Roth
"Who is the author of the book ""Ants at Work: How an Insect Society is Organized""?",Deborah M. Gordon
"Who is the author of the book ""Everyday Grace""?",Marianne Williamson
"Who is the author of the book ""A Arte da Guerra""?",Sun-Tzu
"Who is the author of the book ""The Dragon Reborn""?",Robert Jordan
"Who is the author of the book ""So, You Want To Be Like Christ?: Eight Essentials to Get You There""?",Charles R. Swindoll
"Who is the author of the book ""Skin and Bones""?",Sherry Shahan
"Who is the author of the book ""Just One Drop""?",Quinn Loftis
"Who is the author of the book ""Promiscuities""?",Naomi Wolf
"Who is the author of the book ""How to Change Your Mind""?",Michael Pollan
"Who is the author of the book ""The Art of War: Complete Texts and Commentaries""?",Sun Tzu
"Who is the author of the book ""The Man Who Invented Christmas: How Charles Dickens's A Christmas Carol Rescued His Career and Revived Our Holiday Spirits""?",Les Standiford
"Who is the author of the book ""Paradise Restored: A Biblical Theology of Dominion""?",David Chilton
"Who is the author of the book ""A Woman's Heart""?",Beth Moore
"Who is the author of the book ""Seventh Son""?",Orson Scott Card
"Who is the author of the book ""Adeline: A Novel of Virginia Woolf""?",Norah Vincent
"Who is the author of the book ""Daphna""?",Edmund Spenser
"Who is the author of the book ""The Trials of Roderick Spode, ""The Human Ant""?",David Mamet
"Who is the author of the book ""Antony and Cleopatra""?",William Shakespeare
"Who is the author of the book ""The Handmaid's Tale""?",Margaret Atwood
"Who is the author of the book ""The Opposite of Fate: Memories of a Writing Life""?",Amy Tan
"Who is the author of the book ""Complete Collection Of H.P.Lovecraft - 150 eBooks With 100+ Audio Book Links""?",H.P. Lovecraft
"Who is the author of the book ""Las lecturas diarias de Maxwell""?",John C. Maxwell
"Who is the author of the book ""The Shadow Of The Wind""?",Carlos Ruiz Zafón
"Who is the author of the book ""The Seven Capital Sins""?",Fulton J. Sheen
"Who is the author of the book ""Downfall""?",J.A. Jance
"Who is the author of the book ""El manager al minuto: El método gerencial más popular del mundo""?",Kenneth H. Blanchard
"Who is the author of the book ""Leading with a Limp: Take Full Advantage of Your Most Powerful Weakness""?",Dan B. Allender
"Who is the author of the book ""Spirited Away, Volume 1""?",Hayao Miyazaki
"Who is the author of the book ""The Elements of Investing""?",Burton G. Malkiel
"Who is the author of the book ""Dearest Friend: A Life of Abigail Adams""?",Lynne Withey
"Who is the author of the book ""Sacred Games""?",Vikram Chandra
"Who is the author of the book ""Happily Ever After""?",Charles de Lint
"Who is the author of the book ""Million Dollar Habits: Practical, Proven, Power Practices to Double and Triple Your Income""?",Brian Tracy
"Who is the author of the book ""Illuminata: A Return to Prayer""?",Marianne Williamson
"Who is the author of the book ""The Edge of Desire""?",Stephanie Laurens
"Who is the author of the book ""Maisie Dobbs Bundle #3: The Mapping of Love and Death and A Lesson in Secrets: Books 7 and 8 in the New York Times Bestselling Series""?",Jacqueline Winspear
"Who is the author of the book ""A Touch Of Love""?",Jonathan Coe
"Who is the author of the book ""The Literary Ladies' Guide to the Writing Life""?",Nava Atlas
"Who is the author of the book ""The House of mirth""?",Edith Wharton
"Who is the author of the book ""Cinnamon""?",Neil Gaiman
"Who is the author of the book ""The Young Elites""?",Marie Lu
"Who is the author of the book ""Trinity""?",Leon Uris
"Who is the author of the book ""The Civil War Trilogy: Gods and Generals / The Killer Angels / The Last Full Measure""?",Jeff Shaara
"Who is the author of the book ""Welcome to Temptation""?",Jennifer Crusie
"Who is the author of the book ""Portrait Inside My Head""?",Phillip Lopate
"Who is the author of the book ""Queen Of The Night""?",J.A. Jance
"Who is the author of the book ""The Dark Before Dawn""?",Laurie Stevens
"Who is the author of the book ""Homicide: A Year on the Killing Streets""?",David Simon
"Who is the author of the book ""Lenin's Tomb: The Last Days of the Soviet Empire""?",David Remnick
"Who is the author of the book ""Self""?",Yann Martel
"Who is the author of the book ""Shadowfell""?",Juliet Marillier
"Who is the author of the book ""The Lollipop Shoes""?",Joanne Harris
"Who is the author of the book ""Be Worshipful (Psalms 1-89): Glorifying God for Who He Is""?",Warren W. Wiersbe
"Who is the author of the book ""The Heretic Emperor""?",Paul Christensen
"Who is the author of the book ""Dream Warrior""?",Sherrilyn Kenyon
"Who is the author of the book ""A Lowcountry Heart: Reflections on a Writing Life""?",Pat Conroy
"Who is the author of the book ""Learned Optimism: How to Change Your Mind and Your Life""?",Martin E.P. Seligman
"Who is the author of the book ""The Bellringer""?",William Timothy Murray
"Who is the author of the book ""The Case Of The Vagabond Virgin""?",Erle Stanley Gardner
"Who is the author of the book ""Fifty Writers on Fifty Shades of Grey""?",M.J. Rose
"Who is the author of the book ""Candide and Other Tales""?",Voltaire
"Who is the author of the book ""Nixon Agonistes: The Crisis of the Self-Made Man""?",Garry Wills
"Who is the author of the book ""The Kraken Project""?",Douglas Preston
"Who is the author of the book ""Some of the Best from Tor.com: 2014""?",Ellen Datlow
"Who is the author of the book ""Hot Night in the City""?",Trevanian
"Who is the author of the book ""Black Out""?",Lisa Unger
"Who is the author of the book ""The Hollows Insider""?",Kim Harrison
"Who is the author of the book ""Fat Is the New 30: The Sweet Potato Queens' Guide to Coping with (the crappy parts of) Life""?",Jill Conner Browne
"Who is the author of the book ""What Hath God Wrought: The Transformation of America, 1815-1848""?",Daniel Walker Howe
"Who is the author of the book ""Last Train to Paradise: Henry Flagler and the Spectacular Rise and Fall of the Railroad that Crossed an Ocean""?",Les Standiford
"Who is the author of the book ""Now I'll Tell You Everything""?",Phyllis Reynolds Naylor
"Who is the author of the book ""The Mystery of the Spiteful Letters""?",Enid Blyton
"Who is the author of the book ""The Second Chances Collection: Never Again Good-bye, When Dreams Cross, Blind Trust, Broken Wings""?",Terri Blackstock
"Who is the author of the book ""Antigona""?",Slavoj Žižek
"Who is the author of the book ""Mystic River""?",Dennis Lehane
"Who is the author of the book ""Becoming Myself: A Psychiatrist's Memoir""?",Irvin D. Yalom
"Who is the author of the book ""ABBA 1, World 0""?",Chuck Klosterman
"Who is the author of the book ""One Faithful Life, Ebook: A Harmony of the Life and Letters of Paul""?",John F. MacArthur Jr.
"Who is the author of the book ""Pulp Culture: Hardboiled Fiction and the Cold War""?",Woody Haut
"Who is the author of the book ""Dark Companion""?",Marta Acosta
"Who is the author of the book ""Sagarana""?",João Guimarães Rosa
"Who is the author of the book ""Bob Dylan in America""?",Sean Wilentz
"Who is the author of the book ""The Importance of Being Earnest and Other Plays""?",Oscar Wilde
"Who is the author of the book ""Lost Illusions""?",Honoré de Balzac
"Who is the author of the book ""No Holding Back: The Autobiography""?",Michael Holding
"Who is the author of the book ""The October List""?",Jeffery Deaver
"Who is the author of the book ""Carbono alterado""?",Richard K. Morgan
"Who is the author of the book ""Mardi and a Voyage Thither""?",Herman Melville
"Who is the author of the book ""The Mourning Hours""?",Paula Treick DeBoard
"Who is the author of the book ""Bleach―ブリーチ― 33 [Burīchi 33]""?",Tite Kubo
"Who is the author of the book ""The Zero Marginal Cost Society: The Internet of Things, the Collaborative Commons, and the Eclipse of Capitalism""?",Jeremy Rifkin
"Who is the author of the book ""The Art of Teaching""?",Jay Parini
"Who is the author of the book ""The United States Constitution""?",United States
"Who is the author of the book ""Grace for the Moment: Inspirational Thoughts for Each Day of the Year, Volume 1""?",Max Lucado
"Who is the author of the book ""Imaginary Lands""?",Robin McKinley
"Who is the author of the book ""Because She Loves Me""?",Mark Edwards
"Who is the author of the book ""The Island of Excess Love""?",Francesca Lia Block
"Who is the author of the book ""Song for the Basilisk""?",Patricia A. McKillip
"Who is the author of the book ""The Victoria Vanishes""?",Christopher Fowler
"Who is the author of the book ""Shakespearean Negotiations: The Circulation of Social Energy in Renaissance England""?",Stephen Greenblatt
"Who is the author of the book ""The Left Behind Collection""?",Tim LaHaye
"Who is the author of the book ""Lhind the Spy""?",Sherwood Smith
"Who is the author of the book ""The Small Big: Small Changes That Spark Big Influence""?",Robert B. Cialdini
"Who is the author of the book ""How It Is""?",Samuel Beckett
"Who is the author of the book ""The Complete Poems""?",D.H. Lawrence
"Who is the author of the book ""How to Measure Anything: Finding the Value of ""Intangibles"" in Business""?",Douglas W. Hubbard
"Who is the author of the book ""El cuerpo perfecto en cuatro horas""?",Timothy Ferris
"Who is the author of the book ""Infiltration: The Plot to Destroy the Church from Within""?",Dr. Taylor Reed Marshall
"Who is the author of the book ""The Last Temptation""?",Val McDermid
"Who is the author of the book ""Memories of a Catholic Girlhood""?",Mary McCarthy
"Who is the author of the book ""Meditation for Fidgety Skeptics: A 10% Happier How-To Book""?",Dan Harris
"Who is the author of the book ""Leaving Before the Rains Come""?",Alexandra Fuller
"Who is the author of the book ""We Should All Be Feminists""?",Chimamanda Ngozi Adichie
"Who is the author of the book ""The Christmas Hope""?",Donna VanLiere
"Who is the author of the book ""Black Panther: World of Wakanda #1""?",Ta-Nehisi Coates
"Who is the author of the book ""Springwater""?",Linda Lael Miller
"Who is the author of the book ""Stand Still Like the Hummingbird""?",Henry Miller
"Who is the author of the book ""With Speed and Violence: Why Scientists Fear Tipping Points in Climate Change""?",Fred Pearce
"Who is the author of the book ""The Next Queen of Heaven""?",Gregory Maguire
"Who is the author of the book ""A orillas del río Piedra me senté y lloré""?",Paulo Coelho
"Who is the author of the book ""Malone Dies""?",Samuel Beckett
"Who is the author of the book ""Thief of Time""?",Terry Pratchett
"Who is the author of the book ""Gold Dust Woman: The Biography of Stevie Nicks""?",Steven Davis
"Who is the author of the book ""Paradise Valley""?",Robyn Carr
"Who is the author of the book ""Zami: A New Spelling of My Name""?",Audre Lorde
"Who is the author of the book ""From the Mixed-Up Files of Mrs. Basil E. Frankweiler""?",E L Konigsburg
"Who is the author of the book ""Los hermanos Karamazov""?",Fyodor Dostoyevsky
"Who is the author of the book ""Victoria's Daughters""?",Jerrold M. Packard
"Who is the author of the book ""Fail, Fail Again, Fail Better: Wise Advice for Leaning into the Unknown""?",Pema Chödrön
"Who is the author of the book ""Sweet Salt Air""?",Barbara Delinsky
"Who is the author of the book ""Heretic""?",Bernard Cornwell
"Who is the author of the book ""The Sketch Book by Washington Irving with Sketch of the Author's Life, and Compositional, Critical and Explanatory Notes / By G.A. Chase""?",Washington Irving
"Who is the author of the book ""The World Doesn't End""?",Charles Simic
"Who is the author of the book ""Lucy Maud Montgomery Short Stories: 1896 to 1901""?",L.M. Montgomery
"Who is the author of the book ""Intruder in the Dust""?",William Faulkner
"Who is the author of the book ""Have Space Suit-Will Travel""?",Robert A. Heinlein
"Who is the author of the book ""The Story of the Siren""?",E.M. Forster
"Who is the author of the book ""The Council of the Cursed""?",Peter Tremayne
"Who is the author of the book ""The You I Never Knew""?",Susan Wiggs
"Who is the author of the book ""You Can't Keep a Good Woman Down: Short Stories""?",Alice Walker
"Who is the author of the book ""I Know Why the Caged Bird Sings""?",Maya Angelou
"Who is the author of the book ""Islam: A Short History""?",Karen Armstrong
"Who is the author of the book ""Una historia de Dios: 4000 años de búsqueda en el judaísmo, el cristianismo y el islam""?",Karen Armstrong
"Who is the author of the book ""The Way of the Superior Man""?",David Deida
"Who is the author of the book ""The Laws of Love: Creating the Relationship of Your Dreams""?",Chris Prentiss
"Who is the author of the book ""Adam Bede""?",George Eliot
"Who is the author of the book ""Eight Blonde Dolls""?",Bobby Underwood
"Who is the author of the book ""Old Friends""?",Tracy Kidder
"Who is the author of the book ""The Beautiful Struggle: A Father, Two Sons, and an Unlikely Road to Manhood""?",Ta-Nehisi Coates
"Who is the author of the book ""Ready For Anything: 52 productivity principles for work and life""?",David Allen
"Who is the author of the book ""The Gods of Riverworld""?",Philip José Farmer
"Who is the author of the book ""The Beat Goes On""?",Ian Rankin
"Who is the author of the book ""The Gangs of New York""?",Herbert Asbury
"Who is the author of the book ""Her Body and Other Parties""?",Carmen Maria Machado
"Who is the author of the book ""Breaking Bread: Insurgent Black Intellectual Life""?",Cornel West
"Who is the author of the book ""Death of a Salesman: Text and Criticism""?",Arthur Miller
"Who is the author of the book ""The Geek Feminist Revolution""?",Kameron Hurley
"Who is the author of the book ""Their Virgin Concubine""?",Shayla Black
"Who is the author of the book ""The Power of Vulnerability: Teachings of Authenticity, Connections and Courage""?",Brené Brown
"Who is the author of the book ""How to Be Here: A Guide to Creating a Life Worth Living""?",Rob Bell
"Who is the author of the book ""In Search of Lost Time [volumes 1 to 7]""?",Marcel Proust
"Who is the author of the book ""Esther: It's Tough Being a Woman [With 6 DVDs and Leader Guide, Member Book]""?",Beth Moore
"Who is the author of the book ""Something I've Been Meaning to Tell You: 13 Stories""?",Alice Munro
"Who is the author of the book ""The Marian Option: God’s Solution to a Civilization in Crisis""?",Carrie Gress
"Who is the author of the book ""Heirs of the King: Living the Beatitudes""?",Warren W. Wiersbe
"Who is the author of the book ""The Art Of Getting Things Done: The Secret Of Highly Effective People.""?",Manoranjan Kumar
"Who is the author of the book ""Dandy""?",Jan Guillou
"Who is the author of the book ""Don Quijote de la Mancha 2""?",Miguel de Cervantes Saavedra
"Who is the author of the book ""The Room""?",Hubert Selby Jr.
"Who is the author of the book ""The Innovators: How a Group of Hackers, Geniuses, and Geeks Created the Digital Revolution""?",Walter Isaacson
"Who is the author of the book ""Secret Sisters of the Salty Sea""?",Lynne Rae Perkins
"Who is the author of the book ""Jesus: The Greatest Life of All""?",Charles R. Swindoll
"Who is the author of the book ""The Lonely Hearts Hotel""?",Heather O'Neill
"Who is the author of the book ""The Sleep Tight Motel""?",Lisa Unger
"Who is the author of the book ""The Man Who Followed Jack Kerouac""?",Christina Westover
"Who is the author of the book ""First Comes Love""?",Emily Giffin
"Who is the author of the book ""Deadlock""?",James Scott Bell
"Who is the author of the book ""En busca de la felycidad""?",Chris Gardner
"Who is the author of the book ""The Cruel Way: Switzerland to Afghanistan in a Ford, 1939""?",Ella Maillart
"Who is the author of the book ""Lateral Thinking: Creativity Step by Step""?",Edward de Bono
"Who is the author of the book ""From Socrates to Sartre: The Philosophic Quest""?",T.Z. Lavine
"Who is the author of the book ""Joyland""?",Stephen King
"Who is the author of the book ""Essentials of Classic Italian Cooking""?",Marcella Hazan
"Who is the author of the book ""From the Moment We Met""?",Marina Adair
"Who is the author of the book ""Journey""?",Danielle Steel
"Who is the author of the book ""It's Not About Perfect: Competing for My Country and Fighting for My Life""?",Shannon Miller
"Who is the author of the book ""Experiences in translation""?",Umberto Eco
"Who is the author of the book ""Crimini e misfatti""?",Woody Allen
"Who is the author of the book ""At Home in Stone Creek""?",Linda Lael Miller
"Who is the author of the book ""By Grand Central Station I Sat Down and Wept""?",Elizabeth Smart
"Who is the author of the book ""Order 66:""?",Karen Traviss
"Who is the author of the book ""The Day Room""?",Don DeLillo
"Who is the author of the book ""The Magic World""?",E. Nesbit
"Who is the author of the book ""Risvegli""?",Oliver Sacks
"Who is the author of the book ""The Power of a Praying® Wife""?",Stormie Omartian
"Who is the author of the book ""Breakable""?",Tammara Webber
"Who is the author of the book ""The Consolations of Philosophy""?",Alain de Botton
"Who is the author of the book ""The Time of the Assassins:  a Study of Rimbaud""?",Henry Miller
"Who is the author of the book ""Little Miss Stoneybrook... and Dawn""?",Ann M. Martin
"Who is the author of the book ""Obras Completas de Julio Verne""?",Jules Verne
"Who is the author of the book ""Caught Stealing""?",Charlie Huston
"Who is the author of the book ""The White Devil""?",John Webster
"Who is the author of the book ""The Decline and Fall of the American Empire""?",Gore Vidal
"Who is the author of the book ""Firefly Beach""?",Luanne Rice
"Who is the author of the book ""Home Girls: A Black Feminist Anthology""?",Alice Walker
"Who is the author of the book ""Broken Republic: Three Essays""?",Arundhati Roy
"Who is the author of the book ""Nothing's Fair in Fifth Grade""?",Barthe DeClements
"Who is the author of the book ""Wolves of the Calla""?",Roland Deschain (Stephen King)
"Who is the author of the book ""Darkwater: Voices from Within the Veil""?",W.E.B. Du Bois
"Who is the author of the book ""Stories of Invention, Told by Inventors and their Friends""?",Edward Everett Hale
"Who is the author of the book ""Bad Boys Online""?",Erin McCarthy
"Who is the author of the book ""Do It Anyway: The New Generation of Activists""?",Courtney E. Martin
"Who is the author of the book ""Eichmann in Jerusalem - A Report on the Banality of Evil""?",Hannah Arendt
"Who is the author of the book ""Seven Dirty Words: The Life and Crimes of George Carlin""?",James Sullivan
"Who is the author of the book ""Louisiana's Way Home""?",Kate DiCamillo
"Who is the author of the book ""Diana: The Goddess Who Hunts Alone""?",Carlos Fuentes
"Who is the author of the book ""Call Them by Their True Names: American Crises""?",Rebecca Solnit
"Who is the author of the book ""Ennead 1/On the Life of Plotinus""?",A.H. Armstrong
"Who is the author of the book ""Secrets of a Freelance Writer, Third Edition: How to Make $100,000 a Year or More""?",Robert W. Bly
"Who is the author of the book ""Forest Mage""?",Robin Hobb
"Who is the author of the book ""Edgar Allan Poe: Selected Poems""?",Edgar Allan Poe
"Who is the author of the book ""The Bonfire of the Vanities""?",Tom Wolfe
"Who is the author of the book ""The Girl in Room Fourteen""?",Carol Drinkwater
"Who is the author of the book ""Testaments Betrayed: An Essay in Nine Parts""?",Milan Kundera
"Who is the author of the book ""On Bullshit""?",Harry G. Frankfurt
"Who is the author of the book ""Thus Spoke Zarathustra""?",Friedrich Nietzsche
"Who is the author of the book ""The Shackleton Sabotage""?",Gertrude Chandler Warner
"Who is the author of the book ""El Poder Contra La Fuerza""?",David R. Hawkins
"Who is the author of the book ""The Culture Clash""?",Jean Donaldson
"Who is the author of the book ""Jane Austen's Letters""?",Jane Austen
"Who is the author of the book ""Rant: An Oral Biography of Buster Casey""?",Chuck Palahniuk
"Who is the author of the book ""The Mind Parasites""?",Colin Wilson
"Who is the author of the book ""Prison Notebooks: Volume I""?",Antonio Gramsci
"Who is the author of the book ""Blonde Hair, Blue Eyes""?",Karin Slaughter
"Who is the author of the book ""The Darkness that Comes Before""?",R. Scott Bakker
"Who is the author of the book ""Indian Summer""?",William Dean Howells
"Who is the author of the book ""Der Butt""?",Günter Grass
"Who is the author of the book ""Kiss My Asterisk: A Feisty Guide to Punctuation and Grammar""?",Jenny Baranick
"Who is the author of the book ""Dearie: The Remarkable Life of Julia Child""?",Bob Spitz
"Who is the author of the book ""Defiance of Eagles""?",William W. Johnstone
"Who is the author of the book ""The Barbizon Diaries: A Meditation on Will, Purpose, and the Value Of Stories""?",James A. Owen
"Who is the author of the book ""Sometimes a Rogue""?",Mary Jo Putney
"Who is the author of the book ""Unbridled""?",Young
"Who is the author of the book ""I Funny: A Middle School Story""?",James Patterson
"Who is the author of the book ""Sebastopol in December""?",Leo Tolstoy
"Who is the author of the book ""Sometimes I Think I Hear My Name""?",Avi
"Who is the author of the book ""Ephesians: New Testament Commentary""?",John F. MacArthur Jr.
"Who is the author of the book ""Trojan women: The Trojan women by Euripedes, and Helen, and Orestes by Ritsos""?",Euripides
"Who is the author of the book ""Hold Me Tight: Your Guide to the Most Successful Approach to Building Loving Relationships""?",Sue Johnson
"Who is the author of the book ""Possession: A Romance""?",A.S. Byatt
"Who is the author of the book ""Destined for War: Can America and China Escape Thucydides’s Trap?""?",Graham Allison
"Who is the author of the book ""Mike, Mike & Me""?",Wendy Markham
"Who is the author of the book ""Evening""?",Susan Minot
"Who is the author of the book ""A Brief Life of Christ""?",Fulton J. Sheen
"Who is the author of the book ""MADAME BOVARY (Bilingual Edition: English-French): A Classic of French Literature from the prolific French writer, known for Salammbô, Sentimental Education, ... et Pécuchet, November and Three Tales""?",Gustave Flaubert
"Who is the author of the book ""Desire Caught by the Tail""?",Pablo Picasso
"Who is the author of the book ""Killing Pablo: The Hunt for the World's Greatest Outlaw""?",Mark Bowden
"Who is the author of the book ""Captives of the Southwest""?",Noel Marie Fletcher
"Who is the author of the book ""Liderar é influenciar - Seja agente de transformação positiva em qualquer ambiente""?",John C. Maxwell
"Who is the author of the book ""March Upcountry""?",David Weber
"Who is the author of the book ""In the Beginning""?",Chaim Potok
"Who is the author of the book ""The World of David Walliams 4 Book Collection: Gangsta Granny / The Boy in the Dress / Mr Stink / The Boy in the Dress""?",David Walliams
"Who is the author of the book ""The Bargain""?",Mary Jo Putney
"Who is the author of the book ""Two-Minute Drill""?",Mike Lupica
"Who is the author of the book ""Lip Service""?",Susan Mallery
"Who is the author of the book ""The Grim Grotto""?",Lemony Snicket
"Who is the author of the book ""How to Eat""?",Nigella Lawson
"Who is the author of the book ""Saved from What?""?",R. C. Sproul
"Who is the author of the book ""Foundation: The History of England from Its Earliest Beginnings to the Tudors""?",Peter Ackroyd
"Who is the author of the book ""Digestive Health with REAL Food""?",Jacob Aglaee
"Who is the author of the book ""The Undrowned Child""?",Michelle Lovric
"Who is the author of the book ""A Brief History of Vice: How Bad Behavior Built Civilization""?",Robert Evans
