question,answers,type
What is a group of Herring called?,army; glean; shoal,Collective noun
What is the baby of a/an Panther called?,cub,Young
What is the female Llama called?,dam; hembra,Female
What do you call a group of Raccoon?,brace; committee; gaze; nursery; smack; troop,Collective noun
What name is given to a group of Gnu?,herd; implausibility,Collective noun
How is a female Quail referred to?,hen,Female
What is the female Lobster called?,hen,Female
What is a group of Mongoose called?,committee; delegation; troop,Collective noun
What do you call a female Pug?,bitch,Female
What is a group of Hyena called?,cackle; clan,Collective noun
How is a female Lobster referred to?,hen,Female
What do you call a group of Antelope?,cluster; herd; tribe,Collective noun
What is a group of Moose called?,herd,Collective noun
What is the young one of a/an Lapwing called?,chick,Young
What is the young one of a/an Pheasant called?,chick,Young
What do you call a/an Ape’s young?,baby; child; infant,Young
What do you call a group of Cod?,school,Collective noun
What name is given to a group of Toucan?,durante,Collective noun
What is the young one of a/an Raven called?,chick,Young
What is the baby of a/an Boar/wild; pig called?,farrow; piglet; shoat/shote,Young
What is the female Kinkajou called?,sow,Female
What do you call a group of Kingbird?,court; tyranny; coronation,Collective noun
What do you call a/an Squirrel’s young?,kit; kitten; pup,Young
What is the female Guinea; fowl called?,hen,Female
What name is given to the offspring of a/an Finch?,chick,Young
What do you call a group of Cockroach?,intrusion,Collective noun
What is the young one of a/an Chimpanzee called?,infant,Young
What do you call a/an Sand; dollar’s young?,juvenile; larva; pluteus,Young
What is the young one of a/an Wombat called?,joey,Young
How is a group of Hare referred to?,band; down; drove; flick; husk,Collective noun
What name is given to a female Cattle?,cow; heifer; freemartin,Female
How is a group of Zebra referred to?,cohort; dazzle; herd; zeal,Collective noun
What name is given to a group of Partridge?,covey; roost,Collective noun
What is the young one of a/an Weasel called?,kit; pup,Young
What do you call a female Squirrel?,doe,Female
What is the female Polar; bear called?,sow,Female
What is a group of Stingray called?,fever,Collective noun
What is the young one of a/an Lyrebird called?,chick,Young
What name is given to a female Lion?,lioness,Female
What is a group of Hornet called?,bike; nest; swarm,Collective noun
What do you call a/an Mole’s young?,pup,Young
How is a female Turkey referred to?,hen,Female
What do you call a/an Ferret’s young?,kit,Young
What do you call a/an Gorilla’s young?,infant,Young
What do you call a female Crocodile?,cow,Female
What is a group of Kangaroo called?,court; herd; mob; troop,Collective noun
What is the baby of a/an Pug called?,pup,Young
How is a group of Albatross referred to?,flock; gam; rookery,Collective noun
What do you call a group of Finch?,charm,Collective noun
What name is given to a group of Cobra?,quiver,Collective noun
What name is given to a group of Kangaroo?,court; herd; mob; troop,Collective noun
What do you call a group of Toucan?,durante,Collective noun
How is a female Deer referred to?,doe; hind; cow,Female
What name is given to a group of Leopard?,leap; lepe,Collective noun
What do you call a female Pigeon?,hen,Female
What name is given to a female Sheep?,dam; ewe,Female
What is the young one of a/an Peafowl called?,chick; peachick,Young
What do you call a female Baboon?,babuina,Female
What do you call a/an Cormorant’s young?,chick; shaglet,Young
How is a group of Toucan referred to?,durante,Collective noun
What is the baby of a/an Squirrel called?,kit; kitten; pup,Young
What name is given to a group of Chicken?,brood; clutch; flock; peep,Collective noun
What do you call a/an Guinea; fowl’s young?,keet,Young
What is the female Goose called?,goose,Female
What is a group of Ferret called?,business; busyness,Collective noun
What do you call a group of Lyrebird?,musket,Collective noun
What is the baby of a/an Wildebeest called?,calf,Young
What is a group of Alligator called?,congregation,Collective noun
What is the young one of a/an Crocodile called?,hatchling,Young
What is the baby of a/an Elephant called?,calf,Young
What is the baby of a/an Swan called?,cygnet; flapper,Young
What do you call a/an Sea; otter’s young?,pup,Young
What do you call a/an Gecko’s young?,hatchling,Young
What do you call a/an Rat’s young?,kitten; pup,Young
What name is given to the offspring of a/an Duck?,duckling,Young
What name is given to the offspring of a/an Human?,baby; boy; child; girl; infant,Young
What do you call a group of Whale?,gam; pod; school,Collective noun
What name is given to a female Rabbit?,doe; jill,Female
What name is given to the offspring of a/an Cheetah?,cub; kitten,Young
What name is given to the offspring of a/an Dunlin?,chick,Young
What is the young one of a/an Leopard called?,cub,Young
What do you call a group of Sheep?,flock; fold; herd,Collective noun
What is the baby of a/an Pig called?,farrow; piglet; shoat/shote,Young
What do you call a female Alligator?,cow,Female
What name is given to a female Badger?,sow,Female
What do you call a/an Mouse’s young?,pup,Young
What is the baby of a/an Crocodile called?,hatchling,Young
What is the female Moose called?,cow,Female
What is the baby of a/an Jay called?,chick,Young
What name is given to a group of Bear?,sleuth; sloth,Collective noun
What name is given to the offspring of a/an Panther?,cub,Young
How is a group of Owl referred to?,parliament,Collective noun
What do you call a group of Crocodile?,bask; congregation; float; menace,Collective noun
What do you call a group of Peafowl?,ostentation,Collective noun
How is a group of Ass/donkey referred to?,coffle; drove; herd; pace,Collective noun
What is a group of Jellyfish called?,bloom; brood; fluther; smack; smuth,Collective noun
What is the female Nightingale called?,hen,Female
What is the young one of a/an Monkey called?,infant,Young
What is the young one of a/an Bat called?,pup,Young
What name is given to a female Hippopotamus?,cow,Female
What is the female Duck called?,duck; hen,Female
What is a group of Ant called?,army; bike; colony; bivouac; nest; swarm,Collective noun
How is a female Crocodile referred to?,cow,Female
What is the female Ass/donkey called?,jenny,Female
What do you call a/an Jaguar’s young?,cub,Young
What name is given to a female Koala?,doe,Female
What is the female Armadillo called?,sow,Female
How is a group of Alpaca referred to?,herd,Collective noun
How is a female Bee referred to?,queen; worker,Female
What do you call a female Zebra?,mare,Female
What is a group of Guinea; pig called?,herd,Collective noun
What name is given to the offspring of a/an Elephant?,calf,Young
How is a female Pigeon referred to?,hen,Female
What name is given to a group of Wombat?,wisdom,Collective noun
What do you call a female Finch?,hen,Female
How is a group of Jellyfish referred to?,bloom; brood; fluther; smack; smuth,Collective noun
What do you call a/an Cattle’s young?,calf,Young
What do you call a female Koala?,doe,Female
What name is given to a female Giant; panda?,sow,Female
What name is given to a group of Octopus?,shoal,Collective noun
What name is given to a group of Guinea; fowl?,flock; rasp,Collective noun
What do you call a group of Sandpiper?,fling,Collective noun
How is a group of Duck referred to?,badling; brace; bunch; flock; herd; paddling; raft; safe; skein; sord; sore; string; team; waddling,Collective noun
What is a group of Termite called?,colony; nest; swarm,Collective noun
What do you call a female Polar; bear?,sow,Female
What is the baby of a/an Partridge called?,chick,Young
What do you call a group of Camel?,caravan; flock; herd; train,Collective noun
What is a group of Cat called?,clowder; cluster; clutter; glaring; kindle; litter; pillow; pounce; nuisance,Collective noun
How is a group of Nightingale referred to?,watch,Collective noun
What do you call a female Rabbit?,doe; jill,Female
What name is given to a group of Guanaco?,herd,Collective noun
What name is given to a female Polar; bear?,sow,Female
What is the baby of a/an Dog called?,pup; puppy; whelp,Young
What do you call a group of Pug?,grumble,Collective noun
What is the baby of a/an Lyrebird called?,chick,Young
What is the baby of a/an Monkey called?,infant,Young
What is the baby of a/an Gnu called?,calf,Young
What name is given to a group of Seahorse?,shoal,Collective noun
What is the female Porcupine called?,sow,Female
What name is given to a group of Emu?,mob,Collective noun
What name is given to a female Guinea; fowl?,hen,Female
What is the baby of a/an Grasshopper called?,nymph,Young
What name is given to the offspring of a/an Stingray?,pup,Young
What name is given to a female Chinchilla?,sow; velvet,Female
What do you call a female Alpaca?,hembra,Female
How is a group of Hedgehog referred to?,array,Collective noun
What do you call a group of Wasp?,colony; hive; nest; swarm,Collective noun
What do you call a female Goose?,goose,Female
What do you call a group of Spoonbill?,bowl,Collective noun
How is a group of Rat referred to?,colony; horde; mischief,Collective noun
What is the young one of a/an Kinkajou called?,kit; pup,Young
What name is given to a group of Termite?,colony; nest; swarm,Collective noun
What is the young one of a/an Boar/wild; pig called?,farrow; piglet; shoat/shote,Young
What do you call a group of Toad?,knot,Collective noun
What do you call a/an Lark’s young?,chick,Young
What do you call a group of Cheetah?,coalition,Collective noun
What name is given to a group of Chinchilla?,colony,Collective noun
What is a group of Bee called?,cast; cluster; colony; drift; erst; grist; hive; nest; rabble; stand; swarm,Collective noun
What name is given to a female Crocodile?,cow,Female
What do you call a group of Moose?,herd,Collective noun
What is a group of Gorilla called?,band troop; group whoop,Collective noun
What do you call a/an Baboon’s young?,infant,Young
What do you call a female Fox?,vixen,Female
How is a female Heron referred to?,hen,Female
What is a group of Wildebeest called?,confusion,Collective noun
What is a group of Beetle called?,swarm,Collective noun
How is a female Jay referred to?,hen,Female
What is the baby of a/an Cattle called?,calf,Young
What is the young one of a/an Duck called?,duckling,Young
What is a group of Owl called?,parliament,Collective noun
What is the female Hamster called?,doe,Female
What is the young one of a/an Dove called?,chick,Young
What name is given to a female Swan?,pen,Female
How is a group of Giant; panda referred to?,embarrassment; sleuth,Collective noun
What name is given to the offspring of a/an Wildebeest?,calf,Young
What do you call a/an Goose’s young?,gosling,Young
What is a group of Hamster called?,horde,Collective noun
How is a group of Wasp referred to?,colony; hive; nest; swarm,Collective noun
What name is given to a group of Wildebeest?,confusion,Collective noun
What is a group of Cockroach called?,intrusion,Collective noun
What name is given to a group of Shark?,shiver,Collective noun
What is the baby of a/an Seal called?,pup,Young
What is the baby of a/an Beetle called?,larva; grub; mealworm; pupa,Young
What is the female Mallard called?,hen,Female
What name is given to a group of Spider?,cluster; clutter,Collective noun
What name is given to the offspring of a/an Guanaco?,chulengo,Young
What name is given to the offspring of a/an Ferret?,kit,Young
What is a group of Hippopotamus called?,bloat; herd; sea; thunder,Collective noun
What is the young one of a/an Ass/donkey called?,foal,Young
What do you call a female Gerbil?,doe,Female
What is a group of Locust called?,cloud; host; swarm,Collective noun
How is a female Wombat referred to?,jill,Female
What do you call a female Elephant?,cow,Female
How is a group of Lapwing referred to?,deceit; desert,Collective noun
How is a female Llama referred to?,dam; hembra,Female
What is a group of Bear called?,sleuth; sloth,Collective noun
How is a group of Hamster referred to?,horde,Collective noun
What name is given to a female Jay?,hen,Female
What is the young one of a/an Kingbird called?,chick,Young
What name is given to the offspring of a/an Partridge?,chick,Young
What name is given to the offspring of a/an Hare?,leveret,Young
What name is given to the offspring of a/an Locust?,nymph,Young
How is a female Squirrel referred to?,doe,Female
What is the young one of a/an Mosquito called?,nymph; tumbler; wriggler,Young
How is a female Wolf referred to?,bitch; she-wolf,Female
What name is given to a group of Nightingale?,watch,Collective noun
What is a group of Mosquito called?,cloud; scourge; swarm,Collective noun
What do you call a group of Beaver?,colony; family,Collective noun
What is the baby of a/an Alligator called?,hatchling,Young
What name is given to a group of Penguin?,colony; huddle; raft; rookery; tuxedo; waddle,Collective noun
What name is given to the offspring of a/an Chicken?,chick,Young
What name is given to the offspring of a/an Goose?,gosling,Young
How is a group of Alligator referred to?,congregation,Collective noun
What is a group of Raven called?,conspiracy; unkindness,Collective noun
What is the baby of a/an Rabbit called?,bunny; kit; kitten; nestling,Young
How is a female Finch referred to?,hen,Female
What do you call a female Opossum?,jill,Female
What name is given to a group of Horse?,band; field; harras; herd; rag; stable; string; stud; team,Collective noun
What do you call a female Lark?,hen,Female
What name is given to the offspring of a/an Opossum?,joey,Young
What name is given to a group of Pelican?,pod; scoop,Collective noun
How is a female Hippopotamus referred to?,cow,Female
What name is given to a group of Grasshopper?,cloud; swarm,Collective noun
What is a group of Rat called?,colony; horde; mischief,Collective noun
What name is given to the offspring of a/an Boar/wild; pig?,farrow; piglet; shoat/shote,Young
What do you call a group of Dolphin?,herd; pod; school; team,Collective noun
What is the female Bear called?,she-bear; sow,Female
What is the young one of a/an Dolphin called?,calf,Young
What do you call a/an Raven’s young?,chick,Young
What is the young one of a/an Grasshopper called?,nymph,Young
What is the young one of a/an Chough called?,chick,Young
What is a group of Jay called?,band; party; scold,Collective noun
How is a group of Gerbil referred to?,horde,Collective noun
What is the baby of a/an Chough called?,chick,Young
What do you call a female Moose?,cow,Female
What name is given to a group of Squirrel?,scurry,Collective noun
How is a group of Emu referred to?,mob,Collective noun
What do you call a female Ass/donkey?,jenny,Female
How is a group of Ant referred to?,army; bike; colony; bivouac; nest; swarm,Collective noun
How is a group of Cormorant referred to?,flight; gulp,Collective noun
What is a group of Pelican called?,pod; scoop,Collective noun
What do you call a group of Flamingo?,flamboyance; stand,Collective noun
How is a group of Stingray referred to?,fever,Collective noun
What name is given to a group of Snake?,ball; nest; slither,Collective noun
What name is given to a group of Fox?,leash; skulk; earth,Collective noun
What name is given to a female Horse?,dam; mare,Female
How is a group of Dove referred to?,arc; cote; dole; dule; flight; piteousness; pitying,Collective noun
What is the young one of a/an Prairie; dog called?,pup,Young
What do you call a group of Baboon?,flange troop; group,Collective noun
What do you call a female Cattle?,cow; heifer; freemartin,Female
What do you call a female Dog?,bitch,Female
What do you call a group of Armadillo?,protection,Collective noun
What is a group of Cormorant called?,flight; gulp,Collective noun
What is the baby of a/an Toad called?,tadpole; toadlet,Young
What do you call a group of Squid?,shoal,Collective noun
What do you call a group of Wolf?,pack,Collective noun
What do you call a group of Lion?,pride; sawt,Collective noun
What name is given to a female Quail?,hen,Female
What do you call a group of Cat?,clowder; cluster; clutter; glaring; kindle; litter; pillow; pounce; nuisance,Collective noun
What do you call a female Salmon?,hen; jen,Female
What do you call a/an Pelican’s young?,chick; nestling,Young
What is the young one of a/an Seal called?,pup,Young
What do you call a/an Snake’s young?,hatchling; neonate; snakelet,Young
What is the female Lion called?,lioness,Female
What do you call a female Crab?,hen; jenny,Female
What is a group of Lyrebird called?,musket,Collective noun
How is a group of Wallaby referred to?,mob,Collective noun
How is a group of Rabbit referred to?,litter; nest; warren; wrack,Collective noun
What name is given to a female Finch?,hen,Female
What is the young one of a/an Antelope called?,calf,Young
What is the female Pheasant called?,hen,Female
What do you call a/an Toucan’s young?,chick,Young
What name is given to a female Chicken?,hen; pullet,Female
What do you call a group of Hornet?,bike; nest; swarm,Collective noun
How is a female Partridge referred to?,chantelle; hen,Female
What do you call a/an Goat’s young?,kid,Young
What is a group of Finch called?,charm,Collective noun
What is the baby of a/an Guinea; fowl called?,keet,Young
What is a group of Albatross called?,flock; gam; rookery,Collective noun
What do you call a female Nightingale?,hen,Female
What is the female Pig called?,gilt; sow,Female
What do you call a group of Rat?,colony; horde; mischief,Collective noun
What do you call a/an Boar/wild; pig’s young?,farrow; piglet; shoat/shote,Young
What is the baby of a/an Ape called?,baby; child; infant,Young
What is the female Kangaroo called?,doe; flyer; jill; roo,Female
What is the baby of a/an Ass/donkey called?,foal,Young
What is the baby of a/an Koala called?,joey,Young
What is a group of Deer called?,bunch; herd; mob; rangale,Collective noun
What is the baby of a/an Stingray called?,pup,Young
What is the young one of a/an Skunk called?,kit,Young
How is a female Wildebeest referred to?,cow,Female
What is the young one of a/an Baboon called?,infant,Young
What do you call a group of Falcon?,cast,Collective noun
What is a group of Dunlin called?,fling,Collective noun
What name is given to a female Pheasant?,hen,Female
What do you call a female Mouse?,doe,Female
What name is given to the offspring of a/an Frog?,froglet; polliwog; tadpole,Young
What is the baby of a/an Rat called?,kitten; pup,Young
What name is given to a group of Rabbit?,litter; nest; warren; wrack,Collective noun
What is the young one of a/an Seahorse called?,seafoal,Young
How is a female Ram referred to?,ewe,Female
How is a female Goose referred to?,goose,Female
What is the young one of a/an Beaver called?,kit; kitten; pup,Young
What do you call a/an Wildebeest’s young?,calf,Young
What do you call a group of Raven?,conspiracy; unkindness,Collective noun
What is the young one of a/an Whale called?,calf,Young
What name is given to a group of Lapwing?,deceit; desert,Collective noun
What is the baby of a/an Moose called?,calf,Young
What is the young one of a/an Quail called?,chick,Young
What name is given to a group of Cattle?,drove; gang; herd; obstinancy; team; troop; yoke,Collective noun
How is a group of Crane referred to?,herd; sedge; sege; siege,Collective noun
What do you call a female Whale?,cow,Female
What name is given to a female Alpaca?,hembra,Female
What name is given to a female Hamster?,doe,Female
What is the female Ant called?,queen; soldier; worker,Female
What name is given to the offspring of a/an Toad?,tadpole; toadlet,Young
What is a group of Turkey called?,rafter,Collective noun
What do you call a group of Elk/wapiti?,gang; herd,Collective noun
How is a female Ferret referred to?,jill,Female
What name is given to a group of Fly?,business; cloud; swarm,Collective noun
What is the female Sheep called?,dam; ewe,Female
How is a group of Pigeon referred to?,flight; flock; kit,Collective noun
How is a group of Goose referred to?,chevron; flock; gaggle; plump; skein; team; wedge,Collective noun
What name is given to a female Otter?,sow,Female
What name is given to the offspring of a/an Crab?,zoea,Young
What name is given to the offspring of a/an Spoonbill?,chick,Young
What name is given to a female Squirrel?,doe,Female
What name is given to a group of Sea; otter?,raft,Collective noun
What do you call a group of Pig?,drift; drove; litter; sounder; team,Collective noun
How is a group of Finch referred to?,charm,Collective noun
What is the female Dolphin called?,cow,Female
How is a female Polar; bear referred to?,sow,Female
What do you call a female Wasp?,queen; worker,Female
How is a group of Tiger referred to?,ambush; streak,Collective noun
What name is given to a group of Finch?,charm,Collective noun
What is the female Leopard called?,leopardess,Female
What is the baby of a/an Badger called?,cub; kit,Young
What name is given to a group of Chimpanzee?,troop; group tribe,Collective noun
What is the young one of a/an Emu called?,chick; hatchling,Young
What do you call a female Partridge?,chantelle; hen,Female
What do you call a group of Giraffe?,corps; herd; tower,Collective noun
What do you call a/an Camel’s young?,calf,Young
What is the female Boar/wild; pig called?,sow,Female
How is a group of Mole referred to?,labor,Collective noun
What name is given to a group of Prairie; dog?,town,Collective noun
How is a group of Antelope referred to?,cluster; herd; tribe,Collective noun
How is a group of Hawk referred to?,aerie; boil; cast; cauldron; flight; flock; kettle; leash; staff,Collective noun
What is a group of Lark called?,exaltation,Collective noun
What do you call a/an Finch’s young?,chick,Young
What do you call a group of Ram?,flock,Collective noun
What do you call a/an Lyrebird’s young?,chick,Young
What do you call a group of Pheasant?,bouquet; flock; nest; nide; nye,Collective noun
How is a female Human referred to?,lady; woman,Female
What do you call a female Mole?,sow,Female
What is the young one of a/an Eagle called?,eaglet; fledgling,Young
What is the female Rabbit called?,doe; jill,Female
What do you call a female Wombat?,jill,Female
What do you call a group of Human?,band; clan; crowd; family; group; horde; tribe,Collective noun
How is a female Swan referred to?,pen,Female
How is a group of Cattle referred to?,drove; gang; herd; obstinancy; team; troop; yoke,Collective noun
What name is given to a group of Locust?,cloud; host; swarm,Collective noun
What name is given to the offspring of a/an Dog?,pup; puppy; whelp,Young
What do you call a female Chicken?,hen; pullet,Female
What is the baby of a/an Narwhal called?,calf,Young
What is the baby of a/an Gorilla called?,infant,Young
What do you call a/an Opossum’s young?,joey,Young
What name is given to the offspring of a/an Grasshopper?,nymph,Young
What is the baby of a/an Giraffe called?,calf,Young
What is the baby of a/an Turtle called?,hatchling; turtlet,Young
What is the female Dog called?,bitch,Female
What name is given to the offspring of a/an Goat?,kid,Young
What is the young one of a/an Mole called?,pup,Young
What do you call a/an Raccoon’s young?,cub; kit,Young
What do you call a group of Boar/wild; pig?,herd; singular; sounder,Collective noun
What name is given to a group of Elk/wapiti?,gang; herd,Collective noun
What do you call a group of Duck?,badling; brace; bunch; flock; herd; paddling; raft; safe; skein; sord; sore; string; team; waddling,Collective noun
What name is given to a female Gerbil?,doe,Female
What is a group of Raccoon called?,brace; committee; gaze; nursery; smack; troop,Collective noun
What name is given to a female Boar/wild; pig?,sow,Female
What is the baby of a/an Beaver called?,kit; kitten; pup,Young
What name is given to a group of Jaguar?,leap; parade; prowl,Collective noun
What name is given to a female Dog?,bitch,Female
What do you call a female Heron?,hen,Female
How is a group of Penguin referred to?,colony; huddle; raft; rookery; tuxedo; waddle,Collective noun
What is the baby of a/an Prairie; dog called?,pup,Young
What do you call a female Guinea; pig?,sow,Female
What name is given to a female Partridge?,chantelle; hen,Female
What is the female Gnu called?,cow,Female
What is the female Antelope called?,doe,Female
What is a group of Rhinoceros called?,crash; herd,Collective noun
What do you call a/an Wallaby’s young?,joey,Young
What do you call a/an Nightingale’s young?,chick,Young
What is the young one of a/an Mallard called?,duckling,Young
How is a group of Elephant referred to?,herd; memory; parade,Collective noun
What is the baby of a/an Spider called?,spiderling,Young
What is the young one of a/an Cat called?,kit; kitten,Young
What do you call a female Camel?,cow,Female
What name is given to a female Goat?,doe; doeling; nanny,Female
What name is given to a female Llama?,dam; hembra,Female
What is a group of Squirrel called?,scurry,Collective noun
What is the young one of a/an Flamingo called?,chick,Young
What name is given to the offspring of a/an Mole?,pup,Young
What is a group of Tiger called?,ambush; streak,Collective noun
How is a female Ass/donkey referred to?,jenny,Female
What name is given to the offspring of a/an Turkey?,poult,Young
What is the female Squirrel called?,doe,Female
What is the baby of a/an Bee called?,larva; pupa,Young
What name is given to the offspring of a/an Weasel?,kit; pup,Young
What do you call a group of Ferret?,business; busyness,Collective noun
What name is given to a group of Dunlin?,fling,Collective noun
What do you call a female Mallard?,hen,Female
What is the young one of a/an Goose called?,gosling,Young
What is the young one of a/an Hedgehog called?,hoglet; piglet; pup,Young
How is a female Raven referred to?,hen,Female
What is the baby of a/an Lark called?,chick,Young
What do you call a/an Tiger’s young?,cub; whelp,Young
How is a female Pheasant referred to?,hen,Female
What name is given to the offspring of a/an Chimpanzee?,infant,Young
What is the baby of a/an Wallaby called?,joey,Young
What is a group of Pigeon called?,flight; flock; kit,Collective noun
What is the baby of a/an Antelope called?,calf,Young
What is the baby of a/an Weasel called?,kit; pup,Young
What do you call a group of Sea; otter?,raft,Collective noun
What name is given to a female Skunk?,sow,Female
How is a group of Lion referred to?,pride; sawt,Collective noun
How is a female Armadillo referred to?,sow,Female
What is the female Jay called?,hen,Female
What is the young one of a/an Hamster called?,pup,Young
What is the female Human called?,lady; woman,Female
What do you call a/an Mongoose’s young?,pup,Young
How is a female Pig referred to?,gilt; sow,Female
What name is given to a group of Lemur?,conspiracy,Collective noun
How is a female Crab referred to?,hen; jenny,Female
What name is given to a female Seahorse?,seamare,Female
What name is given to a female Nightingale?,hen,Female
What is a group of Duck called?,badling; brace; bunch; flock; herd; paddling; raft; safe; skein; sord; sore; string; team; waddling,Collective noun
What do you call a/an Crocodile’s young?,hatchling,Young
What is the young one of a/an Beetle called?,larva; grub; mealworm; pupa,Young
What do you call a female Dolphin?,cow,Female
What is a group of Badger called?,cete; colony,Collective noun
What is a group of Kinkajou called?,convergence; troop,Collective noun
How is a group of Bee referred to?,cast; cluster; colony; drift; erst; grist; hive; nest; rabble; stand; swarm,Collective noun
What name is given to the offspring of a/an Monkey?,infant,Young
How is a group of Ram referred to?,flock,Collective noun
What is the young one of a/an Sheep called?,cosset; lamb; lambkin,Young
What is the young one of a/an Hyena called?,cub,Young
What is the baby of a/an Falcon called?,eyass/eyas,Young
What name is given to the offspring of a/an Ass/donkey?,foal,Young
What do you call a group of Weasel?,gang; sneak,Collective noun
How is a group of Chicken referred to?,brood; clutch; flock; peep,Collective noun
What is the young one of a/an Snake called?,hatchling; neonate; snakelet,Young
What is the baby of a/an Ant called?,larva; pupa,Young
What is the young one of a/an Hare called?,leveret,Young
What is a group of Baboon called?,flange troop; group,Collective noun
What is a group of Leopard called?,leap; lepe,Collective noun
What is a group of Goose called?,chevron; flock; gaggle; plump; skein; team; wedge,Collective noun
What name is given to a female Wasp?,queen; worker,Female
What do you call a group of Chimpanzee?,troop; group tribe,Collective noun
What do you call a/an Gnu’s young?,calf,Young
What name is given to the offspring of a/an Falcon?,eyass/eyas,Young
How is a female Prairie; dog referred to?,sow,Female
What is a group of Heron called?,flight; sedge; sege; siege,Collective noun
What name is given to a female Crab?,hen; jenny,Female
What is a group of Narwhal called?,pod; herd; school; gam; grind,Collective noun
What do you call a female Bear?,she-bear; sow,Female
What name is given to a group of Mouse?,colony; nest,Collective noun
What is a group of Partridge called?,covey; roost,Collective noun
What do you call a female Lion?,lioness,Female
What is a group of Mallard called?,sord; suit,Collective noun
What is a group of Cattle called?,drove; gang; herd; obstinancy; team; troop; yoke,Collective noun
What name is given to a group of Narwhal?,pod; herd; school; gam; grind,Collective noun
How is a group of Spoonbill referred to?,bowl,Collective noun
What name is given to the offspring of a/an Dove?,chick,Young
How is a female Narwhal referred to?,cow,Female
What is a group of Ram called?,flock,Collective noun
How is a female Elk/wapiti referred to?,cow,Female
What is the baby of a/an Hippopotamus called?,calf,Young
What do you call a group of Wildebeest?,confusion,Collective noun
What is the young one of a/an Alpaca called?,cria,Young
What do you call a/an Leopard’s young?,cub,Young
What do you call a female Hare?,doe; jill,Female
What is the baby of a/an Mouse called?,pup,Young
How is a female Gerbil referred to?,doe,Female
What do you call a group of Dog?,comedy; cowardice; cry; kennel; litter; mute; pack,Collective noun
How is a group of Deer referred to?,bunch; herd; mob; rangale,Collective noun
What is the young one of a/an Crab called?,zoea,Young
What name is given to a female Gnu?,cow,Female
What is the baby of a/an Goose called?,gosling,Young
What is the young one of a/an Wolf called?,cub; pup; puppy; whelp,Young
What do you call a female Badger?,sow,Female
What name is given to the offspring of a/an Rhinoceros?,calf,Young
What do you call a group of Opossum?,passel,Collective noun
What is the young one of a/an Bear called?,cub,Young
What is the female Giant; panda called?,sow,Female
What is the young one of a/an Wasp called?,larva,Young
What name is given to a female Mouse?,doe,Female
What do you call a/an Hamster’s young?,pup,Young
How is a group of Giraffe referred to?,corps; herd; tower,Collective noun
What is the female Hawk called?,hen,Female
What name is given to a group of Ram?,flock,Collective noun
What is the female Lark called?,hen,Female
What name is given to the offspring of a/an Rat?,kitten; pup,Young
What name is given to a female Kangaroo?,doe; flyer; jill; roo,Female
What is the female Otter called?,sow,Female
What do you call a/an Wasp’s young?,larva,Young
What is the young one of a/an Pug called?,pup,Young
How is a group of Elk/wapiti referred to?,gang; herd,Collective noun
What do you call a/an Swan’s young?,cygnet; flapper,Young
What is a group of Whale called?,gam; pod; school,Collective noun
What do you call a group of Alligator?,congregation,Collective noun
What name is given to the offspring of a/an Spider?,spiderling,Young
What name is given to a female Cat?,molly; queen,Female
What do you call a/an Quail’s young?,chick,Young
What do you call a group of Bat?,camp; cloud; colony; flock,Collective noun
What name is given to a group of Moose?,herd,Collective noun
What is the female Chicken called?,hen; pullet,Female
What is the young one of a/an Deer called?,calf; fawn,Young
What name is given to a group of Zebra?,cohort; dazzle; herd; zeal,Collective noun
How is a group of Gnu referred to?,herd; implausibility,Collective noun
What do you call a/an Horse’s young?,colt; filly; foal; weanling; yearling,Young
What name is given to a group of Lark?,exaltation,Collective noun
What name is given to the offspring of a/an Owl?,fledgling; owlet,Young
What is the female Lyrebird called?,hen,Female
What is the female Cat called?,molly; queen,Female
What do you call a/an Giant; panda’s young?,cub,Young
How is a female Hawk referred to?,hen,Female
What do you call a female Chimpanzee?,empress,Female
How is a group of Opossum referred to?,passel,Collective noun
What is the female Whale called?,cow,Female
How is a female Hare referred to?,doe; jill,Female
What is the female Chimpanzee called?,empress,Female
What name is given to the offspring of a/an Hornet?,larva; pupa,Young
What name is given to a female Whale?,cow,Female
What name is given to a group of Bat?,camp; cloud; colony; flock,Collective noun
How is a group of Pug referred to?,grumble,Collective noun
What do you call a/an Hedgehog’s young?,hoglet; piglet; pup,Young
What name is given to a female Pigeon?,hen,Female
What do you call a/an Porcupine’s young?,pup; porcupette,Young
What name is given to a group of Hippopotamus?,bloat; herd; sea; thunder,Collective noun
How is a female Baboon referred to?,babuina,Female
What do you call a/an Seahorse’s young?,seafoal,Young
What name is given to the offspring of a/an Alpaca?,cria,Young
What name is given to the offspring of a/an Jellyfish?,ephyra; planula; polyp,Young
What do you call a female Peafowl?,peahen,Female
What is the baby of a/an Dove called?,chick,Young
What do you call a female Ant?,queen; soldier; worker,Female
What is the female Quail called?,hen,Female
How is a female Kinkajou referred to?,sow,Female
What name is given to a group of Lyrebird?,musket,Collective noun
What is a group of Quail called?,bevy,Collective noun
What is the female Hedgehog called?,sow,Female
How is a group of Cockroach referred to?,intrusion,Collective noun
What is the female Fox called?,vixen,Female
What is a group of Mole called?,labor,Collective noun
What name is given to the offspring of a/an Skunk?,kit,Young
What name is given to a group of Pig?,drift; drove; litter; sounder; team,Collective noun
What name is given to a group of Tiger?,ambush; streak,Collective noun
How is a group of Turkey referred to?,rafter,Collective noun
What is a group of Alpaca called?,herd,Collective noun
